index	LMseed	ft	clsseed	dataset	F1_score	loss	accuracy
0	0	ft-seed0	2	 test	 0.5645161271095276	 0.43044528365135193	 0.8920
120	0	ft-seed0	2	 valid	 0.4166666567325592	 0.4225634038448334	 0.8839
6	0	ft-seed0	3	 test	 0.5925925970077515	 0.4165325462818146	 0.8900
126	0	ft-seed0	3	 valid	 0.4606741666793823	 0.43441566824913025	 0.8863
12	0	ft-seed0	4	 test	 0.6065574288368225	 0.4814380705356598	 0.9040
132	0	ft-seed0	4	 valid	 0.4285714626312256	 0.5097822546958923	 0.8957
18	0	ft-seed0	5	 test	 0.570397138595581	 0.44903358817100525	 0.8810
138	0	ft-seed0	5	 valid	 0.4457142949104309	 0.4238314628601074	 0.8851
24	0	ft-seed0	6	 test	 0.5592105388641357	 0.4162355363368988	 0.8660
144	0	ft-seed0	6	 valid	 0.42105263471603394	 0.4097800552845001	 0.8697
30	0	ft-seed0	7	 test	 0.5714285969734192	 0.4321300685405731	 0.9010
150	0	ft-seed0	7	 valid	 0.44871795177459717	 0.4115864932537079	 0.8981
36	0	ft-seed0	8	 test	 0.5772358179092407	 0.4818994700908661	 0.8960
156	0	ft-seed0	8	 valid	 0.45945945382118225	 0.447449266910553	 0.9052
42	0	ft-seed0	9	 test	 0.5	 0.45570382475852966	 0.8800
162	0	ft-seed0	9	 valid	 0.4571428596973419	 0.327668696641922	 0.9100
48	0	ft-seed0	10	 test	 0.5349794626235962	 0.4865730404853821	 0.8870
168	0	ft-seed0	10	 valid	 0.4129032492637634	 0.434408038854599	 0.8922
54	0	ft-seed0	11	 test	 0.5433071255683899	 0.4363311529159546	 0.8840
174	0	ft-seed0	11	 valid	 0.4615384638309479	 0.38903355598449707	 0.8922
60	0	ft-seed0	12	 test	 0.5724906921386719	 0.4853847026824951	 0.8850
180	0	ft-seed0	12	 valid	 0.47191014885902405	 0.5130544304847717	 0.8886
66	0	ft-seed0	13	 test	 0.5742574334144592	 0.40475693345069885	 0.8710
186	0	ft-seed0	13	 valid	 0.45771148800849915	 0.4509955048561096	 0.8709
72	0	ft-seed0	14	 test	 0.5230769515037537	 0.44990867376327515	 0.8760
192	0	ft-seed0	14	 valid	 0.4642857313156128	 0.4322844445705414	 0.8934
78	0	ft-seed0	15	 test	 0.5526315569877625	 0.47065943479537964	 0.8980
198	0	ft-seed0	15	 valid	 0.4413793385028839	 0.4142134487628937	 0.9040
84	0	ft-seed0	16	 test	 0.5087718963623047	 0.5729814171791077	 0.8880
204	0	ft-seed0	16	 valid	 0.4383561909198761	 0.4802896976470947	 0.9028
90	0	ft-seed0	17	 test	 0.560669481754303	 0.47273412346839905	 0.8950
210	0	ft-seed0	17	 valid	 0.4055943787097931	 0.4395078718662262	 0.8993
96	0	ft-seed0	18	 test	 0.5232067108154297	 0.5001763701438904	 0.8870
216	0	ft-seed0	18	 valid	 0.45517241954803467	 0.40583667159080505	 0.9064
102	0	ft-seed0	19	 test	 0.5130434632301331	 0.548660397529602	 0.8880
222	0	ft-seed0	19	 valid	 0.49673202633857727	 0.4328499138355255	 0.9088
108	0	ft-seed0	20	 test	 0.5132743716239929	 0.5187202095985413	 0.8900
228	0	ft-seed0	20	 valid	 0.43609023094177246	 0.407430499792099	 0.9111
114	0	ft-seed0	21	 test	 0.46153849363327026	 0.4121854901313782	 0.8810
234	0	ft-seed0	21	 valid	 0.46268653869628906	 0.2815968096256256	 0.9147
1	0	ft-seed1	2	 test	 0.4956521987915039	 0.5943491458892822	 0.8840
121	0	ft-seed1	2	 valid	 0.4460431635379791	 0.5221770405769348	 0.9088
7	0	ft-seed1	3	 test	 0.41624364256858826	 0.7639743089675903	 0.8850
127	0	ft-seed1	3	 valid	 0.4137931168079376	 0.4463430345058441	 0.9194
13	0	ft-seed1	4	 test	 0.5152838230133057	 0.7346494197845459	 0.8890
133	0	ft-seed1	4	 valid	 0.4615384638309479	 0.696619987487793	 0.9088
19	0	ft-seed1	5	 test	 0.580152690410614	 0.44208887219429016	 0.8900
139	0	ft-seed1	5	 valid	 0.4588235318660736	 0.5001108050346375	 0.8910
25	0	ft-seed1	6	 test	 0.5000000596046448	 0.6066558957099915	 0.8840
145	0	ft-seed1	6	 valid	 0.4964538514614105	 0.4511015713214874	 0.9159
31	0	ft-seed1	7	 test	 0.5522388219833374	 0.6283032298088074	 0.8800
151	0	ft-seed1	7	 valid	 0.4528301954269409	 0.6680119037628174	 0.8969
37	0	ft-seed1	8	 test	 0.4888888895511627	 0.6613699793815613	 0.8850
